SKU,SKU Type,Country Seller,Domain Name,URL,Country Monitored,Review Date,Seller ID & Contract Details,Vat,Phone Number,Email Address,Physical Address,Correct Image,Naming,SKU,Product Name,Compatible Printers,Co-operation,Avoid Customer Confusion,Grey Trade,Shopping Experience
CF244A,A-SKU Toner,Spain,www.supplies24.es,N/A,Spain,9/24/2020,0,0,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A
CF226A,A-SKU Toner,Spain,www.supplies24.es,N/A,Spain,9/24/2020,0,0,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A
CF217A,A-SKU Toner,Spain,www.supplies24.es,N/A,Spain,9/24/2020,0,0,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A
CF410A,A-SKU Toner,Spain,www.supplies24.es,N/A,Spain,9/24/2020,0,0,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A
CF540A,A-SKU Toner,Spain,www.supplies24.es,N/A,Spain,9/24/2020,0,0,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A
CH561EE,A-SKU Ink,Spain,www.supplies24.es,N/A,Spain,9/24/2020,0,0,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A
N9K06AE,A-SKU Ink,Spain,www.supplies24.es,N/A,Spain,9/24/2020,0,0,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A
F6U66AE,A-SKU Ink,Spain,www.supplies24.es,N/A,Spain,9/24/2020,0,0,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A
C2P04AE,A-SKU Ink,Spain,www.supplies24.es,N/A,Spain,9/24/2020,0,0,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A
CN684EE,A-SKU Ink,Spain,www.supplies24.es,N/A,Spain,9/24/2020,0,0,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A
CF244A,A-SKU Toner,Spain,www.tiendatr.com,https://www.tiendatr.com/toner-negro-hp-44a#opiniones,Spain,9/24/2020,1,1,1,1,1,1,0,0,1,1,1,1,1,1
CF226A,A-SKU Toner,Spain,www.tiendatr.com,https://www.tiendatr.com/articulos/buscar?search=CF226A,Spain,9/24/2020,1,1,1,1,1,1,0,0,1,1,1,1,1,1
CF217A,A-SKU Toner,Spain,www.tiendatr.com,https://www.tiendatr.com/toner-hp-17a-negro,Spain,9/24/2020,1,1,1,1,1,1,0,0,1,1,1,1,1,1
CF410A,A-SKU Toner,Spain,www.tiendatr.com,https://www.tiendatr.com/toner-hp-410a-negro,Spain,9/24/2020,1,1,1,1,1,1,0,0,1,1,1,1,1,1
CF540A,A-SKU Toner,Spain,www.tiendatr.com,https://www.tiendatr.com/toner-hp-203a-negro#opiniones,Spain,9/24/2020,1,1,1,1,1,1,0,0,1,0,1,1,1,1
CH561EE,A-SKU Ink,Spain,www.tiendatr.com,https://www.tiendatr.com/tinta-hp-301-negro,Spain,9/24/2020,1,1,1,1,1,0,0,0,1,0,1,1,1,1
N9K06AE,A-SKU Ink,Spain,www.tiendatr.com,https://www.tiendatr.com/tinta-hp-304-negro#opiniones,Spain,9/24/2020,1,1,1,1,1,1,0,0,1,0,1,1,1,1
F6U66AE,A-SKU Ink,Spain,www.tiendatr.com,https://www.tiendatr.com/cartucho-hp-302-negro,Spain,9/24/2020,1,1,1,1,1,1,0,0,1,1,1,1,1,1
C2P04AE,A-SKU Ink,Spain,www.tiendatr.com,https://www.tiendatr.com/tinta-hp-62-negro,Spain,9/24/2020,1,1,1,1,1,0,0,0,1,0,1,0,1,1
CN684EE,A-SKU Ink,Spain,www.tiendatr.com,https://www.tiendatr.com/cartucho-hp-364xl-negro,Spain,9/24/2020,1,1,1,1,1,1,0,0,1,1,1,1,1,1
CF244A,A-SKU Toner,Spain,www.latinta.es,https://www.latinta.es/products/toner-hp-44a?_pos=2&_sid=9347375a2&_ss=r,Spain,9/24/2020,1,1,1,1,1,1,0,0,1,1,1,1,1,1
CF226A,A-SKU Toner,Spain,www.latinta.es,https://www.latinta.es/products/toner-hp-26a?_pos=1&_sid=0551a3501&_ss=r,Spain,9/24/2020,1,1,1,1,1,0,0,0,1,1,1,1,1,1
CF217A,A-SKU Toner,Spain,www.latinta.es,https://www.latinta.es/products/toner-hp-17a?_pos=9&_sid=ea44ec7ef&_ss=r,Spain,9/24/2020,1,1,1,1,1,1,0,0,1,1,1,1,1,1
CF410A,A-SKU Toner,Spain,www.latinta.es,N/A,Spain,9/24/2020,1,1,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1
CF540A,A-SKU Toner,Spain,www.latinta.es,https://www.latinta.es/products/toner-hp-203a-negro?_pos=1&_sid=522f09d4f&_ss=r,Spain,9/24/2020,1,1,1,1,1,0,0,0,1,1,1,1,1,1
CH561EE,A-SKU Ink,Spain,www.latinta.es,https://www.latinta.es/products/cartucho-hp-301-negro?_pos=1&_sid=1c9a640bb&_ss=r,Spain,9/24/2020,1,1,1,1,1,1,0,0,1,1,1,1,1,1
N9K06AE,A-SKU Ink,Spain,www.latinta.es,https://www.latinta.es/products/cartucho-hp-304-negro?_pos=1&_sid=d06955884&_ss=r,Spain,9/24/2020,1,1,1,1,1,1,0,0,1,1,1,1,1,1
F6U66AE,A-SKU Ink,Spain,www.latinta.es,https://www.latinta.es/products/cartucho-hp-302-negro?_pos=1&_sid=84cda3aea&_ss=r,Spain,9/24/2020,1,1,1,1,1,1,0,0,1,1,1,1,1,1
C2P04AE,A-SKU Ink,Spain,www.latinta.es,https://www.latinta.es/products/cartucho-hp-62-negro?_pos=1&_sid=5dbd0094f&_ss=r,Spain,9/24/2020,1,1,1,1,1,1,0,0,1,1,1,1,1,1
CN684EE,A-SKU Ink,Spain,www.latinta.es,https://www.latinta.es/products/cartucho-hp-364xl-negro?_pos=1&_sid=1f80b2cbf&_ss=r,Spain,9/24/2020,1,1,1,1,1,1,0,0,1,1,1,1,1,1
CF244A,A-SKU Toner,Spain,www.consumibles.com,https://www.consumibles.com/cartuchos-de-toner/HP/cartucho-de-toner-negro-de-alta-capacidad-hp-n%C2%BA-444_CF244A.html,Spain,9/24/2020,1,1,1,1,1,1,0,0,0,1,1,1,1,1
CF226A,A-SKU Toner,Spain,www.consumibles.com,https://www.consumibles.com/cartuchos-de-toner/HP/cartucho-de-toner-negro-hp-26a_CF226A.html,Spain,9/24/2020,1,1,1,1,1,0,0,0,1,1,1,1,1,1
CF217A,A-SKU Toner,Spain,www.consumibles.com,https://www.consumibles.com/cartuchos-de-toner/HP/cartucho-de-toner-negro-hp_CF217A.html,Spain,9/24/2020,1,1,1,1,1,1,0,0,0,1,1,1,1,1
CF410A,A-SKU Toner,Spain,www.consumibles.com,https://www.consumibles.com/cartuchos-de-toner/HP/cartucho-de-toner-negro-hp-n%C2%BA-410a_CF410A.html,Spain,9/24/2020,1,1,1,1,1,1,0,0,1,1,1,1,1,1
CF540A,A-SKU Toner,Spain,www.consumibles.com,https://www.consumibles.com/cartuchos-de-toner/HP/cartucho-de-toner-negro-hp-203a_CF540A.html,Spain,9/24/2020,1,1,1,1,1,1,1,1,1,0,1,1,1,1
CH561EE,A-SKU Ink,Spain,www.consumibles.com,https://www.consumibles.com/cartuchos-de-tinta/HP/cartucho-de-tinta-negro-hp-n%C2%BA-301_CH561EE.html,Spain,9/24/2020,1,1,1,1,1,1,0,0,0,1,1,1,1,1
N9K06AE,A-SKU Ink,Spain,www.consumibles.com,https://www.consumibles.com/cartuchos-de-tinta/HP/cartucho-de-tinta-negro-hp-n%C2%BA-304_N9K06AE.html,Spain,9/24/2020,1,1,1,1,1,1,0,0,0,1,1,1,1,1
F6U66AE,A-SKU Ink,Spain,www.consumibles.com,https://www.consumibles.com/cartuchos-de-tinta/HP/cartucho-de-tinta-negro-hp-n%C2%BA-302_F6U66AE.html,Spain,9/24/2020,1,1,1,1,1,1,0,0,0,1,1,1,1,1
C2P04AE,A-SKU Ink,Spain,www.consumibles.com,https://www.consumibles.com/cartuchos-de-tinta/HP/cartucho-de-tinta-negro-hp-n%C2%BA-62_C2P04AE.html,Spain,9/24/2020,1,1,1,1,1,1,0,0,0,1,1,1,1,1
CN684EE,A-SKU Ink,Spain,www.consumibles.com,https://www.consumibles.com/cartuchos-de-tinta/HP/cartucho-de-tinta-negro-alta-capacidad-hp-n%C2%BA-364xl_CN684EE.html,Spain,9/24/2020,1,1,1,1,1,1,0,0,1,1,1,1,1,1
CF244A,A-SKU Toner,Spain,www.mrcartucho.com,N/A,Spain,9/24/2020,1,1,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A
CF226A,A-SKU Toner,Spain,www.mrcartucho.com,https://www.mrcartucho.com/hp-cf226a/14757-toner-hp-cf226a-negro-original-alta-calidad-y-rendimiento-889296154761.html?search_query=CF226A&results=3,Spain,9/24/2020,1,1,1,1,1,1,0,1,0,1,1,1,1,0
CF217A,A-SKU Toner,Spain,www.mrcartucho.com,https://www.mrcartucho.com/hp-cf217a/14755-toner-cf217a-negro-original-alta-capacidad-y-rendimiento-889894797407.html?search_query=CF217A&results=1,Spain,9/24/2020,1,1,1,1,1,1,0,1,0,1,1,1,1,0
CF410A,A-SKU Toner,Spain,www.mrcartucho.com,N/A,Spain,9/24/2020,1,1,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0
CF540A,A-SKU Toner,Spain,www.mrcartucho.com,https://www.mrcartucho.com/hp-cf540a123/15227-toner-hp-cf540a-original-0190781107088.html?search_query=CF540A&results=5,Spain,9/24/2020,1,1,1,1,1,1,0,1,0,1,1,1,1,0
CH561EE,A-SKU Ink,Spain,www.mrcartucho.com,https://www.mrcartucho.com/hp-301/14047-cartucho-hp-301-original-negro-884962894408.html?search_query=CH561EE&results=2,Spain,9/24/2020,1,1,1,1,1,1,0,1,0,1,1,1,1,0
N9K06AE,A-SKU Ink,Spain,www.mrcartucho.com,N/A,Spain,9/24/2020,1,1,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0
F6U66AE,A-SKU Ink,Spain,www.mrcartucho.com,https://www.mrcartucho.com/hp-302/14794-cartucho-hp-302-negro-original-alta-capacidad-y-rendimiento-888793803028.html?search_query=F6U66AE&results=1,Spain,9/24/2020,1,1,1,1,1,1,0,1,0,1,1,1,1,0
C2P04AE,A-SKU Ink,Spain,www.mrcartucho.com,https://www.mrcartucho.com/hp-62/14554-hp-62-negro-cartucho-de-tinta-original-888793376737.html?search_query=C2P04AE&results=2,Spain,9/24/2020,1,1,1,1,1,1,0,0,1,1,1,1,1,0
CN684EE,A-SKU Ink,Spain,www.mrcartucho.com,N/A,Spain,9/24/2020,1,1,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0
CF244A,A-SKU Toner,Spain,www.tintaslevante.es,https://www.tintaslevante.es/consumibles-originales/toner-laser/hp/hp-cf244a-original-cartucho-de-toner-original-44a-p-NCF244A.html,Spain,9/24/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CF226A,A-SKU Toner,Spain,www.tintaslevante.es,https://www.tintaslevante.es/consumibles-originales/toner-laser/hp/hp-cf226a-26a-negro-original-p-NCF226A.html,Spain,9/24/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CF217A,A-SKU Toner,Spain,www.tintaslevante.es,https://www.tintaslevante.es/consumibles-originales/toner-laser/hp/hp-cf217a-negro-original-p-NCF217A.html,Spain,9/24/2020,1,1,1,1,1,1,0,1,0,1,1,1,1,1
CF410A,A-SKU Toner,Spain,www.tintaslevante.es,https://www.tintaslevante.es/buscar?keywords=CF410A&sort=_score&sortsense=desc&search_in_description=1,Spain,9/24/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CF540A,A-SKU Toner,Spain,www.tintaslevante.es,https://www.tintaslevante.es/consumibles-originales/toner-laser/hp/hp-cf540a-negro-cartucho-de-toner-original-203a-p-NCF540A.html,Spain,9/24/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CH561EE,A-SKU Ink,Spain,www.tintaslevante.es,https://www.tintaslevante.es/consumibles-originales/tinta-papel/hp/hp-301-negro-cartucho-de-tinta-original-ch561ee-p-NCH561EE.html,Spain,9/24/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1
N9K06AE,A-SKU Ink,Spain,www.tintaslevante.es,https://www.tintaslevante.es/buscar?keywords=N9K06AE&sort=_score&sortsense=desc&search_in_description=1,Spain,9/24/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6U66AE,A-SKU Ink,Spain,www.tintaslevante.es,https://www.tintaslevante.es/consumibles-originales/tinta-papel/hp/hp-302-negro-cartucho-de-tinta-original-f6u66ae-p-NF6U66AE.html,Spain,9/24/2020,1,1,1,1,1,1,0,0,1,1,1,1,1,1
C2P04AE,A-SKU Ink,Spain,www.tintaslevante.es,https://www.tintaslevante.es/consumibles-originales/tinta-papel/hp/hp-62-negro-cartucho-de-tinta-original-c2p04ae-p-NC2P04AE.html,Spain,9/24/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CN684EE,A-SKU Ink,Spain,www.tintaslevante.es,https://www.tintaslevante.es/consumibles-originales/tinta-papel/hp/hp-364xl-negro-cartucho-de-tinta-original-cn684ee-p-NCN684EE.html,Spain,9/24/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CF244A,A-SKU Toner,Spain,www.dynos.es,https://www.dynos.es/toner-hp-44a-cf244a-negro-1000-paginias-190781977902__CF244A.html,Spain,9/24/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CF226A,A-SKU Toner,Spain,www.dynos.es,https://www.dynos.es/toner-hp-cf226a-negro-n26a-laserjet-pro-m402d-m402dn-m426-889296154761__CF226A.html,Spain,9/24/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CF217A,A-SKU Toner,Spain,www.dynos.es,https://www.dynos.es/toner-hp-cf217a-negro-17a-m102a-m102w-m130-m132-889894797407__CF217A.html,Spain,9/24/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CF410A,A-SKU Toner,Spain,www.dynos.es,https://www.dynos.es/toner-hp-cf410a-negro-2300pag-888793807507__CF410A.html,Spain,9/24/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CF540A,A-SKU Toner,Spain,www.dynos.es,https://www.dynos.es/toner-hp-203a-cf540a-negro-1400-paginas-0190781107088__CF540A.html,Spain,9/24/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CH561EE,A-SKU Ink,Spain,www.dynos.es,https://www.dynos.es/cartucho-tinta-hp-301-ch561ee-negro-1050-3ml-1050-2050-2050s-884962894408__CH561EE.html,Spain,9/24/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1
N9K06AE,A-SKU Ink,Spain,www.dynos.es,https://www.dynos.es/cartucho-tinta-hp-304-n9k06ae-negro-889894860750__N9K06AE.html,Spain,9/24/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6U66AE,A-SKU Ink,Spain,www.dynos.es,https://www.dynos.es/cartucho-tinta-hp-f6u66ae-negro-302-officejet-3830--888793803028__F6U66AE.html,Spain,9/24/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C2P04AE,A-SKU Ink,Spain,www.dynos.es,https://www.dynos.es/cartucho-tinta-62-hp-c2p04ae-negro-888182461938__C2P04AE.html,Spain,9/24/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CN684EE,A-SKU Ink,Spain,www.dynos.es,https://www.dynos.es/cartucho-tinta-hp-364xl-cn684ee-negro-18ml-d5460-b8550-c6380-c5380-885631873670__CN684EE.html,Spain,9/24/2020,1,1,1,1,1,1,0,0,1,1,1,1,1,1
CF244A,A-SKU Toner,Spain,www.pcbox.es,https://www.pcbox.com/productos/hp9476/toner-hp-negro-44a,Spain,9/24/2020,1,1,1,1,1,1,0,0,1,1,1,1,1,1
CF226A,A-SKU Toner,Spain,www.pcbox.es,https://www.pcbox.com/productos/hp7397/toner-hp-26a-negro-cf226a,Spain,9/24/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CF217A,A-SKU Toner,Spain,www.pcbox.es,https://www.pcbox.com/productos/hp8082/toner-hp-negro-17a-cf217a,Spain,9/24/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CF410A,A-SKU Toner,Spain,www.pcbox.es,https://www.pcbox.com/productos/hp7670/toner-hp-laserjet-negro-410a,Spain,9/24/2020,1,1,1,1,1,1,0,0,1,1,1,1,1,1
CF540A,A-SKU Toner,Spain,www.pcbox.es,https://www.pcbox.com/productos/hp9159/toner-hp-negro-203a,Spain,9/24/2020,1,1,1,1,1,1,0,0,1,1,1,1,1,1
CH561EE,A-SKU Ink,Spain,www.pcbox.es,https://www.pcbox.com/productos/hp4578/cartucho-hp-negro-301-ch561ee,Spain,9/24/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1
N9K06AE,A-SKU Ink,Spain,www.pcbox.es,https://www.pcbox.com/productos/hp7897/cartucho-hp-negro-304,Spain,9/24/2020,1,1,1,1,1,1,0,0,1,1,1,1,1,1
F6U66AE,A-SKU Ink,Spain,www.pcbox.es,https://www.pcbox.com/productos/hp7396/cartucho-hp-negro-302-f6u66ae301,Spain,9/24/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C2P04AE,A-SKU Ink,Spain,www.pcbox.es,https://www.pcbox.com/productos/hp6930/cartucho-hp-negro-62-c2p04ae,Spain,9/24/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CN684EE,A-SKU Ink,Spain,www.pcbox.es,https://www.pcbox.com/productos/hp4748/cartucho-hp-negro-364xl-cn684eeabe,Spain,9/24/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CF244A,A-SKU Toner,Spain,www.nucleodigital.com,https://www.nucleodigital.com/producto/hp-cf244a-cartucho-de-toner-original-hp-44a/,Spain,9/24/2020,1,0,1,1,0,1,1,1,1,1,1,1,1,1
CF226A,A-SKU Toner,Spain,www.nucleodigital.com,N/A,Spain,9/24/2020,1,0,1,1,0,N/A,N/A,N/A,N/A,N/A,1,N/A,1,1
CF217A,A-SKU Toner,Spain,www.nucleodigital.com,https://www.nucleodigital.com/producto/cartucho-de-toner-hp-17a-cf217a/,Spain,9/24/2020,1,0,1,1,0,1,1,1,1,1,1,1,1,1
CF410A,A-SKU Toner,Spain,www.nucleodigital.com,N/A,Spain,9/24/2020,1,0,1,1,0,N/A,N/A,N/A,N/A,N/A,1,N/A,1,1
CF540A,A-SKU Toner,Spain,www.nucleodigital.com,N/A,Spain,9/24/2020,1,0,1,1,0,N/A,N/A,N/A,N/A,N/A,1,N/A,1,1
CH561EE,A-SKU Ink,Spain,www.nucleodigital.com,https://www.nucleodigital.com/producto/cartucho-de-tinta-negro-hp-301-ch561ee/,Spain,9/24/2020,1,0,1,1,0,1,1,1,1,1,1,1,1,1
N9K06AE,A-SKU Ink,Spain,www.nucleodigital.com,https://www.nucleodigital.com/producto/hp-304-negro-cartucho-de-tinta-original-n9k06ae/,Spain,9/24/2020,1,0,1,1,0,1,1,1,1,1,1,1,1,1
F6U66AE,A-SKU Ink,Spain,www.nucleodigital.com,https://www.nucleodigital.com/producto/hp-302-negro-cartucho-de-tinta-original-f6u66ae/,Spain,9/24/2020,1,0,1,1,0,1,1,1,1,1,1,1,1,1
C2P04AE,A-SKU Ink,Spain,www.nucleodigital.com,https://www.nucleodigital.com/producto/cartucho-de-tinta-original-hp-62-negro-c2p04ae/,Spain,9/24/2020,1,0,1,1,0,1,1,1,1,1,1,1,1,1
CN684EE,A-SKU Ink,Spain,www.nucleodigital.com,https://www.nucleodigital.com/producto/cn684ee-cartucho-de-tinta-negra-hp-364xl/,Spain,9/24/2020,1,0,1,1,0,1,1,1,1,1,1,1,1,1
CF244A,A-SKU Toner,Spain,www.tutonerbarato.com,N/A,Spain,9/24/2020,1,1,1,1,1,N/A,N/A,N/A,N/A,N/A,1,N/A,1,0
CF226A,A-SKU Toner,Spain,www.tutonerbarato.com,N/A,Spain,9/24/2020,1,1,1,1,1,N/A,N/A,N/A,N/A,N/A,1,N/A,1,0
CF217A,A-SKU Toner,Spain,www.tutonerbarato.com,N/A,Spain,9/24/2020,1,1,1,1,1,N/A,N/A,N/A,N/A,N/A,1,N/A,1,0
CF410A,A-SKU Toner,Spain,www.tutonerbarato.com,N/A,Spain,9/24/2020,1,1,1,1,1,N/A,N/A,N/A,N/A,N/A,1,N/A,1,0
CF540A,A-SKU Toner,Spain,www.tutonerbarato.com,N/A,Spain,9/24/2020,1,1,1,1,1,N/A,N/A,N/A,N/A,N/A,1,N/A,1,0
CH561EE,A-SKU Ink,Spain,www.tutonerbarato.com,https://www.tutonerbarato.com/deskjet-3050se/4872-cartucho-de-tinta-original-hp-301-negro-ch561ee.html?search_query=CH561EE&results=2,Spain,9/24/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,0
